date,sjc_buy,sjc_sell,doji_buy,doji_sell
2026-06-06,146200.0,150200.0,,
2026-06-08,138800.0,143800.0,,
2026-06-09,138800.0,143800.0,,
2026-06-10,133300.0,138300.0,,
2026-06-11,133400.0,138400.0,,
2026-06-12,142400.0,145400.0,,
2026-06-13,144000.0,147000.0,,
2026-06-15,148000.0,150500.0,,
2026-06-16,149500.0,151500.0,,
2026-06-17,148800.0,151300.0,,
2026-06-19,143700.0,146700.0,,
2026-06-20,144200.0,147200.0,,
2026-06-22,145600.0,148600.0,,
2026-06-23,144000.0,147000.0,,
2026-06-25,143200.0,146200.0,,
2026-06-26,144000.0,147000.0,,
2026-06-27,145500.0,148500.0,,
2026-06-29,145000.0,148000.0,,
2026-06-30,144000.0,147000.0,,
2026-07-01,143400.0,146400.0,,
2026-07-02,145400.0,148400.0,,
2026-07-03,148400.0,151400.0,,
2026-07-08,145500.0,148500.0,145500.0,148500.0
2026-07-09,146000.0,149000.0,146000.0,149000.0
2026-07-10,146000.0,149000.0,146000.0,149000.0
2026-07-11,146900.0,149900.0,146900.0,149900.0
2026-07-12,146900.0,149900.0,146900.0,149900.0
2026-07-13,146900.0,149900.0,146900.0,149900.0
2026-07-14,145400.0,148400.0,145400.0,148400.0
2026-07-15,144500.0,147500.0,144500.0,147500.0
2026-07-16,145500.0,148500.0,,
2026-07-17,145200.0,148200.0,,
2026-07-18,143600.0,146600.0,,
2026-07-19,144500.0,147500.0,,
2026-07-20,144500.0,147500.0,,
2026-07-21,143000.0,146000.0,,
2026-07-22,143400.0,146400.0,,
2026-07-23,142000.0,146000.0,,
2026-07-24,135000.0,140000.0,,
